VM1,VM2,VM3,VM4,VM5,VM6,VM7,VM8,VM9,VM10,VM11,VM12,VM13,VM14,VM15,VM16,VM17,VM18,VM19,VM20,VM21,VM22,VM23,VM24,VM25,VM26,VM27,VM28,VM29,VM30,VM31,VM32,VM33,VM34,VM35,VM36,VM37,VM38,VM39,VM40,VM41,VM42,VM43,VM44,VM45,VM46,VM47,VM48,VM49,VM50,VM51,VM52,VM53,VM54,VM55,VM56,VM57,VM58,VM59,VM60,VM61,VM62,VM63,VM64,VM65,VM66,VM67,VM68,VM69,VM70,VM71,VM72,VM73,VM74,VM75,VM76,VM77,VM78,VM79,VM80,VM81,VM82,VM83,VM84,VM85,VM86,VM87,VM88,VM89,VM90,VM91,VM92,VM93,VM94,VM95,VM96,VM97,VM98,VM99,VM100,VM101,VM102,VM103,VM104,VM105,VM106,VM107,VM108,VM109,VM110,VM111,VM112,VM113,VM114,VM115,VM116,VM117,VM118,VM119,VM120,VM121,VM122,VM123,VM124,VM125,VM126,VM127,VM128,VM129,VM130,VM131,VM132,VM133,VM134,VM135,VM136,VM137,VM138,VM139,VM140,VM141,VM142,VM143,VM144,VM145,VM146,VM147,VM148,VM149,VM150,VM151,VM152,VM153,VM154,VM155,VM156,VM157,VM158,VM159,VM160,VM161,VM162,VM163,VM164,VM165,VM166,VM167,VM168,VM169,VM170,VM171,VM172,VM173,VM174,VM175,VM176,VM177,VM178,VM179,VM180,VM181,VM182,VM183,VM184,VM185,VM186,VM187,VM188,VM189,VM190,VM191,VM192,VM193,VM194,VM195,VM196,VM197,VM198,VM199,VM200,VM201,VM202,VM203,VM204,VM205,VM206,VM207,VM208,VM209,VM210,VM211,VM212,VM213,VM214,VM215,VM216,VM217,VM218,VM219,VM220,VM221,VM222,VM223,VM224,VM225,VM226,VM227,VM228,VM229,VM230,VM231,VM232,VM233,VM234,VM235,VM236,VM237,VM238,VM239,VM240,VM241,VM242,VM243,VM244,VM245,VM246,VM247,VM248,VM249,VM250,VM251,VM252,VM253,VM254,VM255,VM256,VM257,VM258,VM259,VM260,VM261,VM262,VM263,VM264,VM265,VM266,VM267,VM268,VM269,VM270,VM271,VM272,VM273,VM274,VM275,VM276,VM277,VM278,VM279,VM280,VM281,VM282,VM283,VM284,VM285,VM286,VM287,VM288,VM289,VM290,VM291,VM292,VM293,VM294,VM295,VM296,VM297,VM298,VM299,VM300,VM301,VM302,VM303,VM304,VM305,VM306,VM307,VM308,VM309,VM310,VM311,VM312,VM313,VM314,VM315,VM316,VM317,VM318,VM319,VM320,VM321,VM322,VM323,VM324,VM325,VM326,VM327,VM328,VM329,VM330,VM331,VM332,VM333,VM334,VM335,VM336,VM337,VM338,VM339,VM340,VM341,VM342,VM343,VM344,VM345,VM346,VM347,VM348,VM349,VM350,VM351,VM352,VM353,VM354,VM355,VM356,VM357,VM358,VM359,VM360,VM361,VM362,VM363,VM364,VM365,VM366,VM367,VM368,VM369,VM370,VM371,VM372,VM373,VM374,VM375
90,36,66,51,17,84,41,6,44,90,19,32,73,8,83,8,30,64,41,17,25,51,30,54,70,60,20,68,35,89,80,53,77,37,17,74,13,78,30,11,46,61,61,11,51,77,50,45,72,8,36,52,40,82,28,36,20,10,66,74,18,80,51,38,61,29,50,33,67,27,38,60,67,17,25,27,80,46,17,10,65,79,16,43,89,70,7,32,9,18,46,7,52,6,24,16,25,52,59,20,48,68,77,17,66,22,32,78,51,66,64,51,59,9,62,54,16,70,11,39,82,52,56,20,87,44,61,36,63,55,47,8,69,54,69,29,6,33,89,6,24,89,44,22,78,81,61,69,15,44,28,42,74,17,75,13,16,86,83,71,26,24,24,37,36,67,46,7,15,53,14,28,29,18,31,16,35,14,72,83,84,62,46,35,7,19,65,25,62,25,14,15,8,82,55,22,45,28,22,72,54,46,23,86,76,63,60,13,57,74,43,15,10,84,9,60,36,33,29,38,71,18,26,15,52,19,78,28,76,18,63,74,78,50,84,51,31,28,85,33,8,61,18,42,89,76,16,36,64,59,58,65,68,5,60,72,80,13,34,42,14,25,74,89,30,7,20,81,32,12,85,87,70,33,15,8,34,55,46,52,83,39,53,60,6,67,62,17,72,15,84,88,44,66,40,7,88,74,56,20,11,89,34,89,41,89,18,51,80,47,90,38,43,45,75,24,5,52,36,87,17,28,47,42,46,62,38,18,61,63,68,55,88,12,70,5,72,65,27,40,10,34,61,32,30,73,30,37,17,52,45,43,7,17,65,89,85,13,87,39,27,76,77,6,71,10,25,46,36,60,71,5,13,25,85
88,53,85,46,87,54,83,66,42,46,54,79,51,49,47,56,6,82,82,71,24,51,23,39,84,65,73,53,62,42,77,35,59,8,56,72,26,66,42,58,90,88,5,60,46,44,7,35,48,40,56,17,60,22,75,30,49,57,8,83,84,66,28,24,51,71,73,54,41,74,84,65,8,24,86,13,62,58,80,13,75,84,47,26,19,19,62,82,47,43,11,28,13,83,64,67,83,90,54,54,38,7,90,27,53,71,7,14,20,57,33,29,40,66,19,17,7,73,34,70,12,30,22,69,54,48,39,62,81,85,38,40,86,9,82,37,76,13,21,41,53,85,41,72,49,8,43,38,12,80,86,88,17,89,23,70,23,8,54,81,80,50,11,62,45,7,78,46,13,15,37,5,76,83,86,28,85,86,12,17,77,43,32,78,6,60,17,44,39,32,11,69,82,70,11,12,44,43,18,26,9,31,34,89,82,37,56,7,15,27,66,26,47,54,55,21,49,30,16,57,74,77,53,21,63,25,79,15,42,57,76,74,42,81,72,31,20,12,57,10,32,19,6,39,64,42,66,11,28,68,45,32,80,38,20,48,35,51,80,69,28,53,84,20,51,73,49,18,57,81,40,8,63,18,24,87,54,18,50,61,16,36,77,15,65,64,65,45,13,61,9,5,60,47,68,85,69,81,88,58,29,80,79,54,9,56,54,77,90,41,88,22,23,34,85,57,90,28,90,12,10,51,39,39,82,54,77,64,88,13,56,38,41,22,60,52,47,58,89,12,21,76,52,34,51,60,9,84,68,5,68,8,21,89,57,82,9,71,22,89,18,76,27,54,23,78,19,16,46,50,67,66,20,55,33
55,69,36,59,83,78,29,69,37,32,65,30,45,18,11,6,54,60,53,41,81,46,58,20,35,38,45,8,58,64,71,82,5,66,32,69,68,45,17,45,26,58,52,34,37,82,73,20,68,37,77,37,78,32,49,29,15,13,89,45,85,90,64,19,43,85,87,8,9,67,76,25,81,71,89,28,68,12,60,84,16,12,69,14,34,33,59,69,38,89,58,18,6,88,82,65,53,52,38,46,34,47,10,31,83,6,40,28,32,8,37,43,48,27,5,25,35,78,61,12,7,54,84,64,17,48,90,89,84,8,24,75,37,71,10,82,9,11,78,44,22,49,90,79,5,85,39,10,78,52,30,54,56,73,90,82,7,77,63,27,22,24,75,28,73,65,69,35,82,13,42,12,80,52,12,75,17,76,11,64,11,42,69,82,78,70,26,55,82,77,61,77,22,67,32,58,68,77,56,25,60,82,36,52,15,51,50,5,62,86,5,18,47,13,52,68,21,31,65,9,73,78,75,29,43,42,14,51,44,38,82,90,40,66,35,45,58,77,89,82,35,78,58,49,24,28,56,39,22,27,40,88,27,46,39,50,86,83,28,48,81,55,68,10,12,76,30,25,89,34,20,60,81,16,6,34,29,29,72,39,78,61,20,38,32,86,59,86,54,61,69,42,8,87,54,12,7,88,18,65,81,37,47,38,75,61,11,43,80,58,41,72,39,40,9,63,83,65,68,88,85,84,86,60,53,26,55,31,25,48,65,59,11,76,88,23,12,14,65,54,66,9,64,28,49,18,46,13,84,6,36,20,86,64,20,61,11,30,90,18,55,72,9,11,81,7,44,16,22,68,82,47,40,44,21
21,47,84,40,37,83,77,38,11,7,20,85,5,46,83,35,46,5,18,71,25,29,8,83,69,7,58,22,39,86,28,48,19,74,52,48,77,48,25,22,71,29,81,72,9,19,88,52,76,59,52,62,15,37,24,53,86,76,29,39,72,35,65,53,85,12,80,47,57,5,53,70,82,17,13,10,56,64,6,77,79,56,80,14,56,78,38,74,83,60,58,10,89,13,90,20,88,58,25,46,39,12,24,34,59,68,31,44,89,71,83,35,60,47,23,30,19,34,53,70,74,5,63,6,21,21,14,80,59,76,69,79,35,78,46,89,39,55,45,49,11,30,53,43,28,58,61,75,69,69,67,32,78,51,60,89,8,86,90,40,76,31,86,43,56,7,73,82,67,90,56,11,12,79,14,43,44,69,29,51,27,19,39,19,25,11,35,45,76,60,64,84,20,23,63,63,75,77,16,31,84,89,73,24,46,74,21,20,47,78,48,10,48,71,81,57,63,75,26,37,8,68,22,82,53,25,42,62,21,55,22,44,19,90,87,67,5,17,66,44,20,78,11,63,32,39,32,62,21,77,5,76,29,80,75,83,58,49,16,14,72,52,61,13,5,74,34,68,19,50,89,67,42,56,83,72,39,86,89,9,21,84,13,13,76,71,26,62,90,14,18,28,10,34,26,29,76,61,16,13,10,61,32,40,45,55,89,84,76,59,29,15,79,20,47,54,62,23,45,84,76,37,88,16,86,80,29,35,88,57,47,17,8,12,28,45,48,41,28,87,53,85,51,77,48,53,9,43,61,53,25,39,84,53,52,74,66,43,43,28,52,25,12,68,84,7,22,62,30,57,42,10,83,49,24
40,23,32,16,26,60,30,89,23,55,15,64,61,65,81,36,28,79,6,6,56,37,46,15,15,82,27,61,37,84,11,45,19,85,13,14,25,64,12,57,76,19,42,10,72,77,18,29,16,19,72,60,24,63,57,52,68,27,58,81,45,84,16,12,56,16,9,46,45,79,8,27,72,22,49,88,17,26,77,53,31,37,12,40,30,12,75,66,35,26,53,70,58,75,59,29,64,14,17,74,21,20,70,83,29,36,66,41,5,42,38,35,86,82,18,85,38,34,25,73,26,46,33,29,54,17,55,17,63,70,69,50,65,23,74,79,74,51,16,30,69,75,20,79,74,90,66,85,57,54,57,36,46,22,81,58,48,82,5,37,24,76,51,59,88,30,12,60,73,22,49,11,6,35,77,71,78,16,87,17,88,55,20,88,18,77,57,67,78,39,85,57,45,7,64,69,65,24,18,16,9,27,27,38,35,85,50,49,18,29,60,57,9,36,52,57,26,14,67,5,16,5,41,22,60,48,75,38,47,53,45,7,59,14,51,29,43,76,70,75,83,37,34,30,30,45,37,69,82,39,67,61,61,50,17,34,44,79,7,67,86,84,65,88,35,14,11,41,42,41,53,30,69,22,33,43,87,47,30,85,43,84,9,74,73,89,16,6,53,72,17,58,66,85,67,72,69,10,12,68,10,33,21,73,68,43,56,47,12,71,78,52,7,58,76,6,27,58,24,20,77,12,77,71,28,89,8,15,71,71,87,14,20,60,8,46,63,89,75,69,48,52,66,42,82,30,87,79,48,64,48,65,79,44,82,58,53,81,82,32,28,66,10,50,78,90,73,41,79,53,74,73,75,23,25
78,25,25,83,59,35,36,38,19,6,50,67,23,66,6,19,31,55,10,64,76,90,61,51,12,23,65,19,58,24,79,10,55,55,55,29,7,10,35,10,17,33,17,58,70,82,31,80,87,60,44,57,18,30,19,60,7,55,88,34,25,70,57,64,6,79,71,38,37,26,40,62,86,23,68,38,8,15,56,12,63,65,17,70,40,76,74,68,69,14,80,18,42,41,88,75,49,42,51,77,90,32,40,85,9,18,61,54,13,66,63,64,20,83,84,37,69,52,16,72,5,10,43,87,77,6,15,7,35,9,57,24,69,73,23,47,63,79,57,40,15,80,52,73,43,63,38,71,55,80,51,13,81,68,38,13,55,5,63,82,58,30,33,21,84,88,76,76,18,59,8,28,18,29,62,53,20,32,39,66,89,25,5,22,66,29,34,78,44,44,45,83,7,46,71,19,78,29,77,34,69,8,31,58,9,73,62,30,87,90,25,85,16,69,21,40,13,84,45,5,39,69,72,81,61,61,35,86,59,77,32,62,90,76,78,30,78,83,63,34,61,89,25,76,41,5,76,60,82,68,63,7,67,22,65,44,29,30,80,23,49,65,70,41,20,37,41,40,86,71,50,66,6,32,35,21,23,22,58,78,26,82,82,85,75,89,39,15,25,12,48,82,10,50,9,16,88,33,5,76,69,23,67,75,18,67,38,55,12,47,48,41,35,16,7,70,5,42,46,15,35,81,72,34,5,30,24,56,37,89,27,13,83,9,70,89,66,84,81,34,29,58,28,47,70,24,87,72,86,62,56,75,87,27,61,13,43,52,25,81,70,67,47,6,68,70,39,41,31,78,8,18,28,30,76
46,30,59,79,6,90,63,41,70,22,41,40,55,78,64,61,83,10,73,13,14,46,89,36,49,25,54,15,9,86,86,11,32,29,13,13,37,65,12,87,85,84,68,54,78,6,28,47,8,55,22,13,54,38,90,27,87,32,8,61,35,28,86,56,62,55,64,60,81,85,17,69,31,82,66,41,79,86,26,50,10,48,65,77,41,67,60,61,43,74,13,49,15,79,55,75,12,62,18,24,55,32,67,58,22,72,15,37,89,22,29,71,9,24,57,78,15,45,18,49,16,38,6,68,19,82,48,11,63,32,40,79,46,67,50,61,64,59,32,9,57,34,78,57,15,62,69,8,26,33,19,82,42,36,15,81,82,42,38,16,73,23,77,12,68,23,66,25,80,18,5,16,17,16,56,12,82,51,31,61,47,85,86,8,73,75,48,67,62,79,72,6,33,30,66,59,61,35,54,24,81,47,88,71,54,45,66,64,79,45,58,75,23,56,69,39,71,8,33,75,20,16,31,19,82,9,33,67,76,36,21,57,34,66,83,34,26,85,26,8,54,50,71,7,37,10,59,13,34,76,50,7,50,25,72,21,89,45,70,52,45,38,21,88,35,90,41,83,7,89,73,76,67,17,70,16,57,26,41,89,71,85,23,13,40,36,28,21,43,84,51,57,76,10,6,27,61,7,41,16,22,23,37,53,84,5,34,83,59,72,15,44,7,32,45,9,17,73,41,67,14,62,18,37,58,31,80,37,77,50,42,42,73,35,41,83,51,70,40,89,26,65,74,14,69,81,75,43,66,42,20,58,57,40,5,82,46,44,75,45,17,80,10,37,31,73,65,10,25,49,31,17,11,68,45
34,50,34,73,7,15,15,88,86,65,29,31,13,15,26,35,18,46,39,32,36,13,20,17,52,50,16,39,16,79,67,47,77,76,16,52,7,83,23,71,74,10,85,89,53,49,48,37,11,64,66,70,23,17,75,25,24,61,51,17,7,59,30,29,62,68,78,18,28,57,86,45,6,76,41,66,11,54,22,44,61,14,50,24,43,78,86,62,28,78,59,88,52,68,55,61,27,79,40,53,79,88,73,39,24,9,9,79,34,86,46,82,50,40,26,64,81,10,52,50,53,12,37,75,5,25,6,56,27,89,57,20,35,15,58,16,81,88,37,60,74,14,75,62,42,10,43,16,31,68,81,42,46,28,74,57,54,7,80,13,30,50,59,23,32,76,74,76,23,65,78,59,74,55,47,79,57,26,43,33,37,60,83,8,53,60,40,6,50,13,32,31,75,13,52,77,73,29,44,50,24,41,78,44,68,46,89,75,72,58,20,72,15,72,23,21,41,74,25,57,11,84,9,77,37,80,20,37,37,70,46,35,7,8,32,29,71,21,83,90,52,66,34,55,30,33,40,39,74,23,46,86,75,11,84,86,81,21,74,25,33,88,87,75,36,85,84,5,50,55,82,32,59,12,83,86,77,52,48,21,42,84,17,26,10,67,86,63,87,84,39,81,87,43,58,73,49,79,61,40,18,64,36,22,85,57,43,9,57,13,10,37,85,37,66,49,54,12,70,69,81,43,19,55,9,86,87,79,46,69,22,89,57,73,5,57,51,33,70,61,30,22,39,75,64,44,90,6,88,66,85,44,53,81,64,79,51,32,65,21,59,66,43,34,48,16,25,35,90,45,32,63,26,28,44
18,5,56,88,59,41,85,20,16,34,47,25,65,21,6,21,9,90,19,51,40,26,53,47,22,47,74,40,29,90,16,53,42,50,59,43,52,10,43,38,44,6,81,56,50,11,18,15,8,60,43,39,20,63,9,61,52,17,49,89,24,11,36,11,82,13,73,36,51,41,53,63,87,74,46,57,37,51,34,76,20,58,38,14,8,10,74,80,79,84,24,30,80,87,26,54,82,18,75,51,23,8,85,22,53,19,8,79,25,90,69,39,11,85,46,52,44,15,33,50,88,34,11,52,39,85,53,70,85,53,24,11,80,76,47,67,35,78,19,68,49,17,20,61,85,10,89,14,18,40,76,26,46,57,16,40,57,23,51,25,54,42,77,81,19,66,63,45,44,71,37,72,16,47,50,29,87,48,76,26,14,78,56,12,65,77,89,37,19,76,76,50,30,47,29,59,88,83,41,6,74,66,18,47,8,47,72,77,84,11,72,26,71,67,32,37,59,46,86,88,64,63,80,22,44,5,82,42,54,14,64,52,43,9,70,7,81,87,76,66,48,50,82,10,55,40,62,59,75,67,33,78,78,32,80,71,67,84,55,73,38,11,12,77,81,34,50,86,86,82,34,54,54,12,58,47,51,40,79,31,49,43,82,53,62,33,38,44,36,60,42,35,11,62,22,38,23,33,74,8,28,48,76,20,34,16,38,7,10,54,17,71,73,60,78,32,24,54,60,58,25,45,15,88,51,49,10,21,36,35,26,13,74,54,74,44,76,66,34,57,72,89,83,53,29,27,8,31,72,34,88,76,30,54,78,46,38,54,16,7,38,68,21,60,71,86,77,63,21,38,18,81,31,12,24
7,52,5,64,40,28,39,56,54,6,43,87,48,76,85,16,34,54,41,52,9,62,44,19,67,47,87,45,28,12,42,55,66,64,18,33,89,28,45,77,42,80,45,71,69,26,61,50,65,20,19,20,82,26,34,29,26,47,68,26,73,41,46,50,56,76,23,73,39,35,43,61,10,70,71,43,79,36,62,73,34,14,7,50,73,51,24,87,74,25,63,82,45,75,45,28,12,58,88,22,52,78,78,83,14,65,77,43,19,8,50,30,42,22,24,73,55,87,86,57,27,66,59,13,77,82,21,84,21,39,55,21,16,39,46,30,44,7,82,82,75,69,16,56,37,7,16,14,44,15,19,44,59,69,82,69,72,51,82,16,27,37,57,82,33,63,73,7,79,54,52,71,68,43,75,78,89,30,8,74,24,58,67,84,34,19,49,5,45,55,87,29,81,11,64,87,26,37,8,50,41,86,71,15,81,41,53,49,42,9,6,87,55,82,35,70,69,20,38,81,18,25,27,25,25,89,78,74,89,71,83,51,34,80,19,78,9,28,28,47,31,48,80,23,29,83,26,54,11,74,18,85,5,30,27,70,11,5,62,74,36,70,34,85,58,17,83,86,71,60,34,62,49,68,38,71,34,57,34,80,83,50,55,46,44,86,74,84,19,55,10,55,72,72,63,50,7,76,14,57,38,31,72,39,31,15,65,60,81,43,69,28,25,89,7,71,31,16,43,19,77,25,79,57,27,21,43,49,28,84,39,30,18,39,75,70,76,26,69,17,17,42,18,30,77,72,90,73,23,7,31,85,18,59,16,40,69,16,73,72,76,32,52,32,50,85,41,33,57,60,70,89,33,48,56
67,53,87,25,21,83,59,56,22,30,29,28,77,32,80,23,67,72,14,61,20,52,36,42,86,81,48,67,80,15,84,66,50,15,8,48,35,83,42,57,8,82,65,47,51,36,73,6,79,18,27,87,23,82,9,54,56,50,36,42,22,35,13,83,67,60,61,13,27,60,11,85,37,37,78,50,30,54,54,25,22,83,26,20,58,58,50,88,45,8,88,8,17,59,30,28,81,20,40,37,65,84,67,57,85,78,20,36,63,56,68,65,5,38,78,81,48,38,45,82,31,89,62,28,83,37,51,25,8,26,53,35,66,72,31,23,24,73,32,24,75,28,6,27,79,28,19,9,85,84,17,26,88,25,36,16,71,46,57,29,31,82,41,15,72,65,29,71,50,23,58,51,71,62,24,44,73,78,66,35,88,19,33,45,89,46,71,88,40,72,43,50,53,74,79,64,38,72,82,51,39,55,29,81,38,52,65,35,9,58,60,63,9,13,50,58,12,32,90,36,40,5,10,34,44,29,7,43,73,60,22,62,9,88,58,64,29,90,85,58,51,60,50,40,50,37,16,55,50,66,73,73,28,14,54,20,40,82,74,23,33,64,76,25,32,35,29,73,15,12,39,83,70,8,18,84,58,45,24,88,32,73,5,12,59,85,73,51,54,39,25,59,64,90,38,15,80,49,77,75,87,74,84,43,56,76,75,53,84,73,63,75,72,47,31,32,20,75,7,23,45,49,86,72,83,36,51,37,9,59,85,80,23,75,8,7,15,73,63,49,7,64,44,40,80,35,21,77,70,63,84,72,27,17,80,40,28,34,72,22,15,12,47,14,21,52,17,83,36,8,84,39,19,16,17
27,86,49,15,74,16,56,25,68,63,37,29,11,27,29,63,16,54,9,85,25,72,43,29,75,80,81,76,32,11,24,29,66,80,77,33,42,8,17,53,40,19,34,18,12,88,88,25,70,9,41,35,75,39,84,22,54,44,38,45,82,86,61,54,9,42,18,73,88,82,8,49,21,43,46,84,82,9,75,57,30,14,51,32,48,10,30,90,76,5,83,66,58,52,50,5,67,60,52,53,63,37,63,52,38,86,26,63,66,66,8,90,14,5,38,62,65,69,84,14,73,12,22,8,45,26,86,58,79,60,52,71,88,63,64,11,54,83,51,64,90,53,62,81,68,52,26,58,27,11,45,49,58,20,33,26,14,23,89,25,47,88,85,87,10,82,49,62,54,61,17,76,88,7,71,80,51,14,48,62,34,64,24,44,39,29,32,88,25,47,55,11,74,46,58,46,58,67,47,21,52,28,88,64,25,35,76,79,74,62,74,69,75,8,21,89,61,69,29,12,37,61,79,14,82,25,51,11,37,20,88,64,38,32,6,50,44,51,36,38,57,24,36,60,67,5,11,68,72,19,11,11,9,69,58,79,58,68,82,50,35,32,18,47,83,13,69,6,12,38,36,30,89,64,85,12,29,33,52,65,77,37,5,55,62,23,35,81,55,53,53,34,75,68,26,25,89,64,28,83,70,6,54,53,36,37,90,72,57,30,19,8,34,29,8,17,90,69,44,39,57,81,54,43,85,71,18,58,37,20,69,67,80,63,18,38,84,15,89,29,29,63,11,69,21,63,72,59,76,47,76,72,22,36,77,65,19,9,9,59,74,20,10,76,89,76,40,22,48,18,6,90,33,46,28
14,55,54,88,57,75,24,85,5,21,45,30,19,29,75,61,33,75,66,47,73,45,25,15,33,15,56,71,77,65,35,81,59,48,54,88,34,53,72,86,42,32,32,25,78,57,53,53,14,89,27,16,42,43,43,65,71,11,79,87,36,40,37,31,82,56,10,73,51,47,52,78,70,67,90,43,59,68,86,23,14,30,21,24,30,9,25,7,14,45,6,61,30,26,9,71,81,6,68,67,46,62,43,10,60,49,88,83,7,50,80,31,44,58,16,61,5,36,38,26,38,11,12,89,6,89,27,49,76,82,51,84,88,37,39,70,68,64,88,7,80,54,49,71,61,83,20,87,86,33,38,27,63,15,10,47,16,87,54,44,76,72,19,70,42,13,6,74,22,24,27,30,34,48,20,53,75,55,48,73,17,13,8,49,28,61,18,57,20,61,39,89,42,59,16,66,50,73,47,36,84,88,23,20,83,29,63,67,81,17,36,62,30,63,60,51,76,77,34,15,55,15,89,38,84,56,83,23,16,33,6,26,12,8,47,90,44,28,83,35,11,77,65,82,8,27,20,13,8,17,40,21,55,84,41,47,13,43,15,19,52,54,6,8,49,41,65,57,71,68,35,70,36,46,11,33,51,15,54,40,82,62,11,54,87,74,74,82,70,57,41,19,17,19,52,60,14,81,22,20,33,38,49,48,85,40,37,8,5,81,32,51,77,86,69,46,61,12,86,73,60,42,44,14,10,69,5,75,84,79,44,31,18,7,26,43,80,30,65,70,43,31,46,5,48,58,30,33,48,27,25,61,62,30,75,28,73,34,78,63,58,31,33,14,53,15,89,69,78,18,24,82,84,27,71
14,34,61,74,41,72,36,71,9,58,14,72,28,23,73,53,66,30,27,66,33,7,21,80,84,63,52,86,30,75,35,32,90,32,53,34,69,63,74,77,39,83,49,11,52,33,76,15,52,57,28,40,76,25,31,49,86,31,82,79,89,35,89,21,36,56,89,42,77,47,25,55,30,33,34,16,27,18,16,35,15,16,44,42,83,34,54,37,31,13,13,6,6,72,22,15,12,22,45,85,60,68,85,43,70,77,46,11,18,42,17,49,12,65,12,45,59,86,70,36,22,14,56,14,17,80,83,78,54,68,26,54,37,27,35,53,10,83,40,59,57,33,54,37,6,52,88,80,40,70,14,88,12,34,44,88,86,67,12,31,60,85,90,55,42,74,9,39,47,81,14,75,47,89,53,70,48,20,27,61,41,25,37,58,79,65,14,53,45,57,9,44,50,53,9,22,74,6,59,75,16,56,47,11,67,8,32,47,60,89,32,23,11,33,12,17,69,77,23,86,59,70,59,29,88,53,38,79,48,11,43,50,55,68,18,69,5,36,14,35,50,59,68,62,74,48,88,88,55,31,18,5,19,67,41,53,20,84,52,48,12,68,83,28,37,34,79,14,20,48,10,46,23,58,72,32,34,79,80,47,77,18,70,37,18,78,32,67,7,17,90,53,80,60,15,37,59,76,6,23,90,17,9,14,87,80,14,29,87,58,65,59,16,87,25,43,40,84,42,82,23,65,73,78,61,65,73,37,37,40,33,28,46,14,18,8,42,37,32,90,73,33,18,90,49,39,76,70,61,84,86,26,18,67,19,5,83,32,40,16,55,68,25,56,5,38,73,58,22,77,86,9,83,18,23
41,21,84,6,76,30,86,55,69,68,26,70,47,31,24,39,28,89,15,47,72,85,38,36,73,49,77,28,47,25,63,15,45,59,14,8,28,20,67,34,60,74,7,86,23,52,16,84,27,29,38,64,19,74,75,59,30,69,75,35,25,36,76,89,17,78,76,16,30,42,23,84,45,57,17,40,52,27,48,7,82,30,68,69,50,77,86,9,13,26,32,86,50,68,60,83,64,13,23,64,67,6,89,26,53,6,73,22,82,35,84,83,21,19,58,10,31,57,6,44,47,24,46,70,77,73,90,45,43,87,84,78,89,20,41,60,74,7,10,38,57,28,42,50,78,5,51,88,30,90,25,19,71,59,24,89,8,73,19,10,26,37,16,64,53,8,20,18,89,63,8,50,16,82,59,38,70,81,67,48,17,68,33,86,24,78,51,42,20,45,59,67,5,71,53,69,6,11,9,80,74,90,64,36,34,10,28,8,25,70,7,17,72,90,37,24,22,88,86,81,45,43,78,83,57,18,37,81,49,43,23,76,46,74,88,44,15,58,46,64,48,27,24,68,25,66,9,59,37,54,43,58,21,9,49,84,24,6,6,25,26,7,42,30,28,47,10,13,62,66,13,9,73,12,86,77,7,46,46,69,86,76,32,72,87,43,33,84,84,60,90,79,61,40,85,86,81,43,50,26,88,10,65,62,44,65,65,62,85,70,74,12,20,9,46,69,20,20,53,85,71,68,73,12,33,88,68,38,7,89,25,32,38,65,21,49,56,85,13,56,19,35,75,6,45,14,80,23,33,80,46,13,82,40,67,77,90,14,80,32,69,28,13,49,52,88,80,76,62,76,34,19,48,77,66
6,54,6,77,66,42,18,16,15,19,29,80,78,65,44,23,11,79,36,74,9,7,85,43,83,48,80,87,22,8,21,78,77,27,22,71,88,11,6,25,48,78,15,39,83,72,60,43,87,26,34,49,64,59,29,89,66,32,76,76,52,86,81,23,34,73,44,55,26,18,67,69,60,71,55,50,61,25,53,34,55,44,74,12,7,58,86,15,52,42,53,53,47,82,62,40,20,10,76,12,18,87,35,37,36,54,34,38,52,37,74,62,70,38,43,67,10,17,36,44,14,38,52,25,81,7,9,27,17,26,38,88,76,56,84,42,39,14,29,37,88,46,17,17,59,67,34,73,49,89,76,49,89,28,85,27,72,45,56,22,14,14,41,90,67,73,59,56,48,33,72,22,6,5,35,85,56,80,61,10,73,9,26,88,60,90,34,80,87,82,74,68,66,40,82,60,20,66,32,60,6,72,36,66,89,61,54,43,70,61,12,24,6,49,29,15,38,76,72,69,82,38,45,70,69,85,63,72,9,18,85,43,5,62,77,21,53,69,79,12,50,24,90,75,68,24,62,90,61,67,22,87,84,49,69,62,13,39,38,82,78,35,61,74,71,25,47,80,78,49,37,24,29,15,35,74,73,68,90,47,79,70,21,45,11,52,7,84,89,71,37,42,12,23,86,35,23,29,9,8,45,73,25,38,86,15,35,49,21,90,38,32,35,27,54,16,67,6,63,25,61,57,43,7,50,79,12,31,25,58,63,47,85,19,67,77,36,61,42,48,38,53,32,35,54,33,57,26,69,36,87,50,12,79,64,23,66,89,7,64,16,56,83,69,34,77,81,18,71,67,12,49,13,22,86
